magnitude,time
40989,0
1445,21
563,31
329,33
555,49
513,54
28145,58
100,62
164,82
491,87
303,87
532,89
825,100
2608,100
74,101
10639,102
1054,104
195,113
877,117
469,128
421,134
228,148
11,149
108,177
686,202
62,202
490,236
373,252
457,283
981,288
553,292
354,296
723,300
193,346
580,351
873,352
326,419
1910,432
510,443
920,449
591,452
816,488
1352,590
210,702
710,752
708,752
375,782
1003,789
76,801
411,811
48,833
99074,953
67,972
281,1005
319,1012
371,1013
225,1016
504,1045
233,1055
1142,1059
42,1067
876,1073
21,1087
1520,1123
991,1128
325,1179
284,1222
839,1235
1786,1260
693,1274
56,1275
109,1291
88,1328
12,1345
299,1355
486,1376
40,1377
1215,1381
655,1419
30,1443
73,1596
1531,1597
12,1610
124,1687
21,1763
390,1787
169,1848
154,1947
71,1973
105,2135
116,2170
1365,2194
399,2267
55,2387
50,2507
5657,2637
149,2639
1170,2645
11320,2648
26989,2658
24574,2670
16719,2684
851,2692
166,2692
59130,2699
79535,2712
48,2715
108,2723
193081,2727
567,2731
87884,2751
344,2762
287,2774
110824,2774
146,2794
50265,2795
64,2802
53015,2808
4541,2811
87805,2820
386,2826
437,2835
2677,2846
8889,2857
13469,2870
75,2887
84,2888
41,2889
89,2891
675,2891
958,2910
63,2910
707,2924
920,2948
127,2951
57,2956
24,2985
1022,2992
481,2993
5,3001
124,3005
460,3029
660,3030
78,3033
51,3060
161,3130
668,3166
27,3184
14,3191
89,3254
290,3311
255,3342
250,3344
34,3364
39,3372
143,3423
494,3442
4640,3458
55,3480
202,3494
790,3524
175,3537
525,3583
154,3622
36,3652
1675,3653
1018,3688
8,3691
218,3727
444,3750
77,3780
198,3812
63,3885
17,3894
8,3910
150,3921
21,3964
60,3984
733,4046
1019,4066
169,4097
140,4242
148,4440
37,4511
1280,4535
292,4668
26,4974
366,5128
577,5128
98,5228
900,5272
16,5281
211,5316
161,5422
572,5552
49,5711
91,5824
71,6292
222,6499
142,6672
24,6989
66,7000
533,7054
426,7553
1303,7638
169,7867
90,7972
369,8660
167,8711
8570,8800
126,8854
4,9557
90,10754
4,14722
146,16453
174,17021
391,18087
188,29186
16,241072
